Void/Retire,UUID,Name,Service definition,Duration,_order:1000
,af1b2c3d-4e5f-4a6b-9c8d-7e8f9a0b1c2d,Physiothérapie Service Type,1fb460a0-93fc-4087-a650-00be1451352d,,
,bf2c3d4e-5a6b-4c7d-9e8f-1a2b3c4d5e6f,Santé mentale Service Type,35df3eda-4aec-406a-bc47-7a883541e616,,
,cf3d4e5f-6a7b-4c8d-9e0f-2b3c4d5e6f7a,Suivi pansement Service Type,dd82465b-4917-4092-83db-d440f411c7b6,,
